央视频,#genre#
CCTV央视台球,http://www.liuyunw.com:88/zb/ysapi.php?id=ystq
CCTV卫生健康,http://www.liuyunw.com:88/zb/ysapi.php?id=wsjk
CGTN,http://www.liuyunw.com:88/zb/ysapi.php?id=cgtn
CGTN纪录,http://www.liuyunw.com:88/zb/ysapi.php?id=cgtnjl
CGTN西语,http://www.liuyunw.com:88/zb/ysapi.php?id=cgtne
CGTN法语,http://www.liuyunw.com:88/zb/ysapi.php?id=cgtnf
CGTN阿语,http://www.liuyunw.com:88/zb/ysapi.php?id=cgtna
CGTN俄语,http://www.liuyunw.com:88/zb/ysapi.php?id=cgtnr
北京卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=bjws
东方卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=dfws
天津卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=tjws
重庆卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=cqws
黑龙江卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=hljws
辽宁卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=lnws
河北卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=hbws
山东卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=sdws
安徽卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=ahws
河南卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=hnws
湖北卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=hubws
湖南卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=hunws
江西卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=jxws
江苏卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=jsws
浙江卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=zjws
东南卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=dnws
广东卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=gdws
深圳卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=szws
广西卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=gxws
贵州卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=gzws
四川卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=scws
新疆卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=xjws
海南卫视,http://www.liuyunw.com:88/zb/ysapi.php?id=hinws

央视频备用,#genre#
CCTV1,http://www.liuyunw.com:88/zb/ysp.php?id=cctv1
CCTV2,http://www.liuyunw.com:88/zb/ysp.php?id=cctv2
CCTV3,http://www.liuyunw.com:88/zb/ysp.php?id=cctv3
CCTV4,http://www.liuyunw.com:88/zb/ysp.php?id=cctv4
CCTV5,http://www.liuyunw.com:88/zb/ysp.php?id=cctv5
CCTV5+,http://www.liuyunw.com:88/zb/ysp.php?id=cctv5p
CCTV6,http://www.liuyunw.com:88/zb/ysp.php?id=cctv6
CCTV7,http://www.liuyunw.com:88/zb/ysp.php?id=cctv7
CCTV8,http://www.liuyunw.com:88/zb/ysp.php?id=cctv8
CCTV9,http://www.liuyunw.com:88/zb/ysp.php?id=cctv9
CCTV10,http://www.liuyunw.com:88/zb/ysp.php?id=cctv10
CCTV11,http://www.liuyunw.com:88/zb/ysp.php?id=cctv11
CCTV12,http://www.liuyunw.com:88/zb/ysp.php?id=cctv12
CCTV13,http://www.liuyunw.com:88/zb/ysp.php?id=cctv13
CCTV14,http://www.liuyunw.com:88/zb/ysp.php?id=cctv14
CCTV15,http://www.liuyunw.com:88/zb/ysp.php?id=cctv15
CCTV16,http://www.liuyunw.com:88/zb/ysp.php?id=cctv16
CCTV17,http://www.liuyunw.com:88/zb/ysp.php?id=cctv17
CCTV4k-1080P,http://www.liuyunw.com:88/zb/ysp.php?id=cctv4k
cctv8k-1080P,http://www.liuyunw.com:88/zb/ysp.php?id=cctv8k
CCTV兵器科技,http://www.liuyunw.com:88/zb/ysp.php?id=bqkj
CCTV第一剧场,http://www.liuyunw.com:88/zb/ysp.php?id=dyjc
CCTV怀旧剧场,http://www.liuyunw.com:88/zb/ysp.php?id=hjjc
CCTV风云剧场,http://www.liuyunw.com:88/zb/ysp.php?id=fyjc
CCTV风云音乐,http://www.liuyunw.com:88/zb/ysp.php?id=fyyy
CCTV风云足球,http://www.liuyunw.com:88/zb/ysp.php?id=fyzq
CCTV电视指南,http://www.liuyunw.com:88/zb/ysp.php?id=dszn
CCTV女性时尚,http://www.liuyunw.com:88/zb/ysp.php?id=nxss
CCTV央视文化精品,http://www.liuyunw.com:88/zb/ysp.php?id=whjp
CCTV世界地理,http://www.liuyunw.com:88/zb/ysp.php?id=sjdl
CCTV高尔夫网球,http://www.liuyunw.com:88/zb/ysp.php?id=gefwq
CCTV央视台球,http://www.liuyunw.com:88/zb/ysp.php?id=ystq
CCTV卫生健康,http://www.liuyunw.com:88/zb/ysp.php?id=wsjk
CGTN,http://www.liuyunw.com:88/zb/ysp.php?id=cgtn
CGTN纪录,http://www.liuyunw.com:88/zb/ysp.php?id=cgtnjl
CGTN西语,http://www.liuyunw.com:88/zb/ysp.php?id=cgtne
CGTN法语,http://www.liuyunw.com:88/zb/ysp.php?id=cgtnf
CGTN阿语,http://www.liuyunw.com:88/zb/ysp.php?id=cgtna
CGTN俄语,http://www.liuyunw.com:88/zb/ysp.php?id=cgtnr
北京卫视,http://www.liuyunw.com:88/zb/ysp.php?id=bjws
东方卫视,http://www.liuyunw.com:88/zb/ysp.php?id=dfws
天津卫视,http://www.liuyunw.com:88/zb/ysp.php?id=tjws
重庆卫视,http://www.liuyunw.com:88/zb/ysp.php?id=cqws
黑龙江卫视,http://www.liuyunw.com:88/zb/ysp.php?id=hljws
辽宁卫视,http://www.liuyunw.com:88/zb/ysp.php?id=lnws
河北卫视,http://www.liuyunw.com:88/zb/ysp.php?id=hbws
山东卫视,http://www.liuyunw.com:88/zb/ysp.php?id=sdws
安徽卫视,http://www.liuyunw.com:88/zb/ysp.php?id=ahws
河南卫视,http://www.liuyunw.com:88/zb/ysp.php?id=hnws
湖北卫视,http://www.liuyunw.com:88/zb/ysp.php?id=hubws
湖南卫视,http://www.liuyunw.com:88/zb/ysp.php?id=hunws
江西卫视,http://www.liuyunw.com:88/zb/ysp.php?id=jxws
江苏卫视,http://www.liuyunw.com:88/zb/ysp.php?id=jsws
浙江卫视,http://www.liuyunw.com:88/zb/ysp.php?id=zjws
东南卫视,http://www.liuyunw.com:88/zb/ysp.php?id=dnws
广东卫视,http://www.liuyunw.com:88/zb/ysp.php?id=gdws
深圳卫视,http://www.liuyunw.com:88/zb/ysp.php?id=szws
广西卫视,http://www.liuyunw.com:88/zb/ysp.php?id=gxws
贵州卫视,http://www.liuyunw.com:88/zb/ysp.php?id=gzws
四川卫视,http://www.liuyunw.com:88/zb/ysp.php?id=scws
新疆卫视,http://www.liuyunw.com:88/zb/ysp.php?id=xjws
海南卫视,http://www.liuyunw.com:88/zb/ysp.php?id=hinws

银河IPV6,#genre#
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3

CCTV1,http://www.liuyunw.com:88/zb/yh.php?id=cctv1
CCTV2,http://www.liuyunw.com:88/zb/yh.php?id=cctv2
CCTV3,http://www.liuyunw.com:88/zb/yh.php?id=cctv3
CCTV4,http://www.liuyunw.com:88/zb/yh.php?id=cctv4
CCTV5,http://www.liuyunw.com:88/zb/yh.php?id=cctv5
CCTV5+,http://www.liuyunw.com:88/zb/yh.php?id=cctv5p
CCTV6,http://www.liuyunw.com:88/zb/yh.php?id=cctv6
CCTV7,http://www.liuyunw.com:88/zb/yh.php?id=cctv7
CCTV8,http://www.liuyunw.com:88/zb/yh.php?id=cctv8
CCTV9,http://www.liuyunw.com:88/zb/yh.php?id=cctv9
CCTV10,http://www.liuyunw.com:88/zb/yh.php?id=cctv10
CCTV11,http://www.liuyunw.com:88/zb/yh.php?id=cctv11
CCTV12,http://www.liuyunw.com:88/zb/yh.php?id=cctv12
CCTV13,http://www.liuyunw.com:88/zb/yh.php?id=cctv13
CCTV14,http://www.liuyunw.com:88/zb/yh.php?id=cctv14
CCTV15,http://www.liuyunw.com:88/zb/yh.php?id=cctv15
CCTV16,http://www.liuyunw.com:88/zb/yh.php?id=cctv16
CCTV17,http://www.liuyunw.com:88/zb/yh.php?id=cctv17
CETV1,http://www.liuyunw.com:88/zb/yh.php?id=cetv1
CETV2,http://www.liuyunw.com:88/zb/yh.php?id=cetv2
CETV3,http://www.liuyunw.com:88/zb/yh.php?id=cetv3
CETV,http://www.liuyunw.com:88/zb/yh.php?id=cetv4
CGTN,http://www.liuyunw.com:88/zb/yh.php?id=cgtn
女性时尚,http://www.liuyunw.com:88/zb/yh.php?id=nxss
世界地理,http://www.liuyunw.com:88/zb/yh.php?id=sjdl
怀旧剧场,http://www.liuyunw.com:88/zb/yh.php?id=hjjc
风云剧场,http://www.liuyunw.com:88/zb/yh.php?id=fyjc
兵器科技,http://www.liuyunw.com:88/zb/yh.php?id=bqkj
风云音乐,http://www.liuyunw.com:88/zb/yh.php?id=fyyy
央视台球,http://www.liuyunw.com:88/zb/yh.php?id=ystq
高尔夫网球,http://www.liuyunw.com:88/zb/yh.php?id=golf
第一剧场,http://www.liuyunw.com:88/zb/yh.php?id=dyjc
央视文化精品,http://www.liuyunw.com:88/zb/yh.php?id=whjp
京视剧场,http://www.liuyunw.com:88/zb/yh.php?id=jsjc
CHC动作电影,http://www.liuyunw.com:88/zb/yh.php?id=chcdz
CHC高清电影,http://www.liuyunw.com:88/zb/yh.php?id=chcgq
CHC家庭影院,http://www.liuyunw.com:88/zb/yh.php?id=chcjt
欢笑剧场4K,http://www.liuyunw.com:88/zb/yh.php?id=hxjc
都市剧场HD,http://www.liuyunw.com:88/zb/yh.php?id=dsjc
北京卫视-极清,http://www.liuyunw.com:88/zb/yh.php?id=bjwsj
东方卫视-极清,http://www.liuyunw.com:88/zb/yh.php?id=dfwsj
广东卫视-极清,http://www.liuyunw.com:88/zb/yh.php?id=gdwsj
湖南卫视-极清,http://www.liuyunw.com:88/zb/yh.php?id=hnwsj
辽宁卫视-极清,http://www.liuyunw.com:88/zb/yh.php?id=lnwsj
山东卫视-极清,http://www.liuyunw.com:88/zb/yh.php?id=sdwsj
深圳卫视-极清,http://www.liuyunw.com:88/zb/yh.php?id=szwsj
天津卫视-极清,http://www.liuyunw.com:88/zb/yh.php?id=tjwsj
江苏卫视-极清,http://www.liuyunw.com:88/zb/yh.php?id=jswsj
浙江卫视-极清,http://www.liuyunw.com:88/zb/yh.php?id=zjwsj
湖北卫视-极清,http://www.liuyunw.com:88/zb/yh.php?id=hbwsj
安徽卫视-极清,http://www.liuyunw.com:88/zb/yh.php?id=ahwsj
黑龙江卫视-极清,http://www.liuyunw.com:88/zb/yh.php?id=hljwsj
浙江卫视HD,http://www.liuyunw.com:88/zb/yh.php?id=zjwsh
湖南卫视HD,http://www.liuyunw.com:88/zb/yh.php?id=hnwsh
江苏卫视HD,http://www.liuyunw.com:88/zb/yh.php?id=jswsh
东方卫视HD,http://www.liuyunw.com:88/zb/yh.php?id=dfwsh
北京卫视HD,http://www.liuyunw.com:88/zb/yh.php?id=bjwsh
辽宁卫视HD,http://www.liuyunw.com:88/zb/yh.php?id=lnwsh
重庆卫视HD,http://www.liuyunw.com:88/zb/yh.php?id=cqwsh
安徽卫视HD,http://www.liuyunw.com:88/zb/yh.php?id=ahwsh
湖北卫视HD,http://www.liuyunw.com:88/zb/yh.php?id=hubwsh
广东卫视HD,http://www.liuyunw.com:88/zb/yh.php?id=gdwsh
深圳卫视HD,http://www.liuyunw.com:88/zb/yh.php?id=szwsh
黑龙江卫视HD,http://www.liuyunw.com:88/zb/yh.php?id=hljwsh
山东卫视,http://www.liuyunw.com:88/zb/yh.php?id=sdws
广西卫视,http://www.liuyunw.com:88/zb/yh.php?id=gxws
海南卫视,http://www.liuyunw.com:88/zb/yh.php?id=hinws
四川卫视,http://www.liuyunw.com:88/zb/yh.php?id=scws
河南卫视,http://www.liuyunw.com:88/zb/yh.php?id=hnws
东南卫视,http://www.liuyunw.com:88/zb/yh.php?id=dnws
天津卫视,http://www.liuyunw.com:88/zb/yh.php?id=tjws
江西卫视,http://www.liuyunw.com:88/zb/yh.php?id=jxws
吉林卫视,http://www.liuyunw.com:88/zb/yh.php?id=jlws
陕西卫视,http://www.liuyunw.com:88/zb/yh.php?id=sxws
贵州卫视,http://www.liuyunw.com:88/zb/yh.php?id=gzws
青海卫视,http://www.liuyunw.com:88/zb/yh.php?id=qhws
云南卫视,http://www.liuyunw.com:88/zb/yh.php?id=ynws
河北卫视,http://www.liuyunw.com:88/zb/yh.php?id=hbws
宁夏卫视,http://www.liuyunw.com:88/zb/yh.php?id=nxws
新疆卫视,http://www.liuyunw.com:88/zb/yh.php?id=xjws
甘肃卫视,http://www.liuyunw.com:88/zb/yh.php?id=gsws
西藏卫视,http://www.liuyunw.com:88/zb/yh.php?id=xzws
兵团卫视,http://www.liuyunw.com:88/zb/yh.php?id=btws
厦门卫视,http://www.liuyunw.com:88/zb/yh.php?id=xmws
延边卫视,http://www.liuyunw.com:88/zb/yh.php?id=ybws
安多卫视,http://www.liuyunw.com:88/zb/yh.php?id=adws
农林卫视,http://www.liuyunw.com:88/zb/yh.php?id=nlws
康巴卫视,http://www.liuyunw.com:88/zb/yh.php?id=kbws
内蒙古卫视,http://www.liuyunw.com:88/zb/yh.php?id=nmgws
大湾区卫视,http://www.liuyunw.com:88/zb/yh.php?id=dwqws
金鹰纪实,http://www.liuyunw.com:88/zb/yh.php?id=jyjs
上海纪实,http://www.liuyunw.com:88/zb/yh.php?id=shjs
山东教育,http://www.liuyunw.com:88/zb/yh.php?id=sdjy
西安教育,http://www.liuyunw.com:88/zb/yh.php?id=xajy


谷豆代理,#genre#
CCTV1综合HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv1
CCTV1综合HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv1hd
CCTV2财经HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv2
CCTV2财经HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv2hd
CCTV3综艺HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv3
CCTV3综艺HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv3hd
CCTV4中文国际,http://www.liuyunw.com:88/zb/gudou.php?id=cctv4
CCTV4国际HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv4hd
CCTV5体育HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv5
CCTV5体育HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv5hd
CCTV5+体育赛事HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv5p
CCTV5+体育赛事HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv5phd
CCTV6电影HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv6
CCTV6电影HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv6hd
CCTV7国防军事HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv7
CCTV7国防军事HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv7hd
CCTV8电视剧HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv8
CCTV8电视剧HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv8hd
CCTV9纪录HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv9
CCTV9纪录HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv9hd
CCTV10科教HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv10
CCTV10科教HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv10hd
CCTV11戏曲,http://www.liuyunw.com:88/zb/gudou.php?id=cctv11
CCTV11戏曲HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv11hd
CCTV12社会HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv12
CCTV12社会HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv12hd
CCTV13新闻,http://www.liuyunw.com:88/zb/gudou.php?id=cctv13
CCTV13新闻HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv13hd
CCTV14少儿HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv14
CCTV14少儿HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv14hd
CCTV15音乐,http://www.liuyunw.com:88/zb/gudou.php?id=cctv15
CTV15音乐HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv15hd
CCTV16奥林匹克,http://www.liuyunw.com:88/zb/gudou.php?id=cctv16
CCTV16奥林匹克4K,http://www.liuyunw.com:88/zb/gudou.php?id=cctv164k
CCTV17农村农业,http://www.liuyunw.com:88/zb/gudou.php?id=cctv17
CCTV117农村农业HD,http://www.liuyunw.com:88/zb/gudou.php?id=cctv17hd
CCTV4K超高清,http://www.liuyunw.com:88/zb/gudou.php?id=cctv4k
怀旧剧场,http://www.liuyunw.com:88/zb/gudou.php?id=hjjc
风云剧场,http://www.liuyunw.com:88/zb/gudou.php?id=fyjc
风云音乐,http://www.liuyunw.com:88/zb/gudou.php?id=fyyy
风云足球,http://www.liuyunw.com:88/zb/gudou.php?id=fyzq
CGTN,http://www.liuyunw.com:88/zb/gudou.php?id=cgtn
书画,http://www.liuyunw.com:88/zb/gudou.php?id=sh
中国天气,http://www.liuyunw.com:88/zb/gudou.php?id=zgtq
CETV1,http://www.liuyunw.com:88/zb/gudou.php?id=cetv1
CETV1HD,http://www.liuyunw.com:88/zb/gudou.php?id=cetv1hd
CETV4,http://www.liuyunw.com:88/zb/gudou.php?id=cetv4
CHC高清电影,http://www.liuyunw.com:88/zb/gudou.php?id=chcgq
CHC家庭影院,http://www.liuyunw.com:88/zb/gudou.php?id=chcjt
CHC动作电影,http://www.liuyunw.com:88/zb/gudou.php?id=chcdz
北京卫视,http://www.liuyunw.com:88/zb/gudou.php?id=bjws
北京卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=bjhd
东方卫视,http://www.liuyunw.com:88/zb/gudou.php?id=dfws
东方卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=dfhd
天津卫视,http://www.liuyunw.com:88/zb/gudou.php?id=tjws
天津卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=tjhd
重庆卫视,http://www.liuyunw.com:88/zb/gudou.php?id=cqws
重庆卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=cqhd
黑龙江卫视,http://www.liuyunw.com:88/zb/gudou.php?id=hljws
黑龙江卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=hljhd
吉林卫视,http://www.liuyunw.com:88/zb/gudou.php?id=jlws
吉林卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=jlhd
延边卫视,http://www.liuyunw.com:88/zb/gudou.php?id=ybws
辽宁卫视,http://www.liuyunw.com:88/zb/gudou.php?id=lnws
辽宁卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=lnhd
内蒙古卫视,http://www.liuyunw.com:88/zb/gudou.php?id=nmws
宁夏卫视,http://www.liuyunw.com:88/zb/gudou.php?id=nxws
甘肃卫视,http://www.liuyunw.com:88/zb/gudou.php?id=gsws
青海卫视,http://www.liuyunw.com:88/zb/gudou.php?id=qhws
陕西卫视,http://www.liuyunw.com:88/zb/gudou.php?id=sxws
河北卫视,http://www.liuyunw.com:88/zb/gudou.php?id=hbws
河北卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=hbhd
山西卫视,http://www.liuyunw.com:88/zb/gudou.php?id=sxiws
山东卫视,http://www.liuyunw.com:88/zb/gudou.php?id=sdws
山东卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=sdhd
安徽卫视,http://www.liuyunw.com:88/zb/gudou.php?id=ahws
安徽卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=ahhd
河南卫视,http://www.liuyunw.com:88/zb/gudou.php?id=hnws
湖北卫视,http://www.liuyunw.com:88/zb/gudou.php?id=hubws
湖北卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=hubhd
湖南卫视,http://www.liuyunw.com:88/zb/gudou.php?id=hunws
湖南卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=hunhd
江西卫视,http://www.liuyunw.com:88/zb/gudou.php?id=jxws
江西卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=jxhd
江苏卫视,http://www.liuyunw.com:88/zb/gudou.php?id=jsws
江苏卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=jshd
浙江卫视,http://www.liuyunw.com:88/zb/gudou.php?id=zjws
浙江卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=zjhd
东南卫视,http://www.liuyunw.com:88/zb/gudou.php?id=dnws
东南卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=dnhd
广东卫视,http://www.liuyunw.com:88/zb/gudou.php?id=gdws
广东卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=gdhd
深圳卫视,http://www.liuyunw.com:88/zb/gudou.php?id=szws
深圳卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=szhd
大湾区卫视,http://www.liuyunw.com:88/zb/gudou.php?id=dwqws
广西卫视,http://www.liuyunw.com:88/zb/gudou.php?id=gxws
广西卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=gxhd
云南卫视,http://www.liuyunw.com:88/zb/gudou.php?id=ynws
贵州卫视,http://www.liuyunw.com:88/zb/gudou.php?id=gzws
贵州卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=gzhd
四川卫视,http://www.liuyunw.com:88/zb/gudou.php?id=scws
四川卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=schd
新疆卫视,http://www.liuyunw.com:88/zb/gudou.php?id=xjws
兵团卫视,http://www.liuyunw.com:88/zb/gudou.php?id=btws
西藏卫视,http://www.liuyunw.com:88/zb/gudou.php?id=xzws
海南卫视,http://www.liuyunw.com:88/zb/gudou.php?id=hinws
海南卫视HD,http://www.liuyunw.com:88/zb/gudou.php?id=hinhd
三沙卫视,http://www.liuyunw.com:88/zb/gudou.php?id=ssws
卡酷少儿,http://www.liuyunw.com:88/zb/gudou.php?id=kkse
环球奇观,http://www.liuyunw.com:88/zb/gudou.php?id=hqqg
劲爆体育,http://www.liuyunw.com:88/zb/gudou.php?id=jbty
劲爆体育HD,http://www.liuyunw.com:88/zb/gudou.php?id=jbtyhd
乐游,http://www.liuyunw.com:88/zb/gudou.php?id=ly
乐游HD,http://www.liuyunw.com:88/zb/gudou.php?id=lyhd
东方财经,http://www.liuyunw.com:88/zb/gudou.php?id=dfcj
法治天地,http://www.liuyunw.com:88/zb/gudou.php?id=fztd
都市剧场,http://www.liuyunw.com:88/zb/gudou.php?id=dsjc
动漫秀场,http://www.liuyunw.com:88/zb/gudou.php?id=dmxc
魅力足球,http://www.liuyunw.com:88/zb/gudou.php?id=mlzq
金色学堂,http://www.liuyunw.com:88/zb/gudou.php?id=jsxt
哈哈炫动,http://www.liuyunw.com:88/zb/gudou.php?id=hhxd
新视觉,http://www.liuyunw.com:88/zb/gudou.php?id=xsj
新动漫,http://www.liuyunw.com:88/zb/gudou.php?id=xdm
文物宝库,http://www.liuyunw.com:88/zb/gudou.php?id=wwbk
武术世界,http://www.liuyunw.com:88/zb/gudou.php?id=wssj
梨园频道,http://www.liuyunw.com:88/zb/gudou.php?id=lypd
金鹰卡通,http://www.liuyunw.com:88/zb/gudou.php?id=jykt
快乐垂钓,http://www.liuyunw.com:88/zb/gudou.php?id=klcd
先锋乒羽,http://www.liuyunw.com:88/zb/gudou.php?id=xfpy
优漫卡通,http://www.liuyunw.com:88/zb/gudou.php?id=ymkt
广东综艺4K,http://www.liuyunw.com:88/zb/gudou.php?id=gdzy4k
广东珠江,http://www.liuyunw.com:88/zb/gudou.php?id=gdzj
广东民生,http://www.liuyunw.com:88/zb/gudou.php?id=gdms
广东新闻,http://www.liuyunw.com:88/zb/gudou.php?id=gdxw
广东体育,http://www.liuyunw.com:88/zb/gudou.php?id=gdty
广东体育HD,http://www.liuyunw.com:88/zb/gudou.php?id=gdtyhd
广东经济科教,http://www.liuyunw.com:88/zb/gudou.php?id=gdjjkj
广东经济科教HD,http://www.liuyunw.com:88/zb/gudou.php?id=gdjjkjhd
广东影视,http://www.liuyunw.com:88/zb/gudou.php?id=gdys
广东少儿,http://www.liuyunw.com:88/zb/gudou.php?id=gdse
岭南戏曲,http://www.liuyunw.com:88/zb/gudou.php?id=lnxq
嘉佳卡通,http://www.liuyunw.com:88/zb/gudou.php?id=jjkt
广东导视,http://www.liuyunw.com:88/zb/gudou.php?id=gdds
广州综合,http://www.liuyunw.com:88/zb/gudou.php?id=gzzh
广州新闻,http://www.liuyunw.com:88/zb/gudou.php?id=gzxw
广州法治,http://www.liuyunw.com:88/zb/gudou.php?id=gzfz
广州竞赛,http://www.liuyunw.com:88/zb/gudou.php?id=gzjs
广州影视,http://www.liuyunw.com:88/zb/gudou.php?id=gzys
